section,key,value
"timeline.5","payload","{""outboxEventId"":63,""transferRef"":""TRX-20260716061216-7698F2F7"",""messageType"":""TRANSFER_DISPATCH""}"
"timeline.6","eventType","OUTBOX_ISO_MESSAGE_RESOLVED"
"timeline.6","actor","WORKER"
"timeline.6","createdAt","2026-07-16T06:12:16.441"
"timeline.6","payload","{""outboxEventId"":63,""transferRef"":""TRX-20260716061216-7698F2F7"",""isoMessageId"":124,""messageType"":""TRANSFER_DISPATCH"",""connectorName"":""MOCK_UAT260716T02220_CONNECTOR"",""routeCode"":""ROUTE_SUNDAYBANK_TO_UAT260716T02220_PACS_008""}"
"timeline.7","eventType","OUTBOX_ISO_DISPATCH_STARTED"
"timeline.7","actor","WORKER"
"timeline.7","createdAt","2026-07-16T06:12:16.475"
"timeline.7","payload","{""transferRef"":""TRX-20260716061216-7698F2F7"",""outboundIsoMessageId"":124,""messageType"":""PACS_008"",""direction"":""OUTBOUND"",""messageId"":""MSG-TRX-20260716061216-7698F2F7"",""endToEndId"":""E2E-TRX-20260716061216-7698F2F7"",""securityStatus"":""ENCRYPTED"",""sourceBank"":""SUNDAYBANK"",""destinationBank"":""UAT260716T02220"",""routeCode"":""ROUTE_SUNDAYBANK_TO_UAT260716T02220_PACS_008"",""connectorName"":""MOCK_UAT260716T02220_CONNECTOR"",""encryptedPayloadPresent"":true}"
"timeline.8","eventType","PACS002_RESPONSE_RECEIVED"
"timeline.8","actor","WORKER"
"timeline.8","createdAt","2026-07-16T06:12:16.483"
"timeline.8","payload","{""transferRef"":""TRX-20260716061216-7698F2F7"",""outboundIsoMessageId"":124,""outboundMessageId"":""MSG-TRX-20260716061216-7698F2F7"",""routeCode"":""ROUTE_SUNDAYBANK_TO_UAT260716T02220_PACS_008"",""connectorName"":""MOCK_UAT260716T02220_CONNECTOR"",""responseSuccess"":false,""responseCode"":""PACS002-RJCT"",""responseMessage"":""MOCK_CONNECTOR_REJECTED_AND_RETURNED_PACS002"",""externalReference"":""MOCK-D573D54F"",""isoStatusCode"":""RJCT"",""pacs002XmlPresent"":true}"
"timeline.9","eventType","PACS002_INBOUND_SAVED"
"timeline.9","actor","WORKER"
"timeline.9","createdAt","2026-07-16T06:12:16.495"
"timeline.9","payload","{""transferRef"":""TRX-20260716061216-7698F2F7"",""inboundIsoMessageId"":125,""messageType"":""PACS_002"",""direction"":""INBOUND"",""messageId"":""M260716061216UAT20716061216769827"",""endToEndId"":""E2E-TRX-20260716061216-7698F2F7"",""securityStatus"":""DECRYPTED"",""txStatus"":""RJCT"",""originalMessageId"":""MSG-TRX-20260716061216-7698F2F7"",""originalEndToEndId"":""E2E-TRX-20260716061216-7698F2F7"",""originalTransactionId"":""TRX-20260716061216-7698F2F7"",""routeCode"":""ROUTE_SUNDAYBANK_TO_UAT260716T02220_PACS_008"",""connectorName"":""MOCK_UAT260716T02220_CONNECTOR"",""externalReference"":""MOCK-D573D54F""}"
"timeline.10","eventType","PACS002_PARSED"
"timeline.10","actor","WORKER"
"timeline.10","createdAt","2026-07-16T06:12:16.497"
"timeline.10","payload","{""transferRef"":""TRX-20260716061216-7698F2F7"",""inboundIsoMessageId"":125,""messageId"":""M260716061216UAT20716061216769827"",""originalMessageId"":""MSG-TRX-20260716061216-7698F2F7"",""originalEndToEndId"":""E2E-TRX-20260716061216-7698F2F7"",""originalTransactionId"":""TRX-20260716061216-7698F2F7"",""txStatus"":""RJCT"",""accepted"":false,""rejected"":true,""reasonCode"":""AC01"",""reasonMessage"":""Mock connector rejected transfer"",""routeCode"":""ROUTE_SUNDAYBANK_TO_UAT260716T02220_PACS_008"",""connectorName"":""MOCK_UAT260716T02220_CONNECTOR""}"
"timeline.11","eventType","TRANSFER_DRS_REQUIRED"
"timeline.11","actor","WORKER"
"timeline.11","createdAt","2026-07-16T06:12:16.518"
"timeline.11","payload","{""settlementConfidence"":""DISPUTED"",""downstreamErrorMessage"":""PACS.002 rejected. reasonCode=AC01, reasonMessage=Mock connector rejected transfer"",""transferRef"":""TRX-20260716061216-7698F2F7"",""confirmationStatus"":""DISPUTED"",""downstreamErrorCode"":""PACS002-RJCT"",""reason"":""DESTINATION_REJECTED""}"
"timeline.12","eventType","DRS_DISPUTE_AUTO_OPENED"
"timeline.12","actor","WORKER"
"timeline.12","createdAt","2026-07-16T06:12:16.522"
"timeline.12","payload","{""failureClass"":""PERMANENT_BUSINESS"",""transferRef"":""TRX-20260716061216-7698F2F7"",""sourceBank"":""SUNDAYBANK"",""destinationBank"":""UAT260716T02220"",""disputeId"":27}"
"timeline.13","eventType","OUTBOX_DISPATCH_FAILED"
"timeline.13","actor","WORKER"
"timeline.13","createdAt","2026-07-16T06:12:16.523"
"timeline.13","payload","{""outboxEventId"":63,""transferRef"":""TRX-20260716061216-7698F2F7"",""errorCode"":""EXT-001"",""category"":""DOWNSTREAM"",""layer"":""CONNECTOR"",""phase"":""DISPATCH_TRANSFER"",""retryable"":false,""message"":""Downstream bank rejected transfer"",""errorMessage"":""PACS.002 rejected. reasonCode=AC01, reasonMessage=Mock connector rejected transfer"",""downstreamErrorCode"":""PACS002-RJCT"",""failureClass"":""PERMANENT_BUSINESS"",""attemptNo"":1,""maxRetry"":4,""willRetry"":false}"
