section,key,value
"timeline.6","payload","{""outboxEventId"":45,""transferRef"":""TRX-20260702075738-456404E5"",""isoMessageId"":85,""messageType"":""TRANSFER_DISPATCH"",""connectorName"":""MOCK_PETERBANK_CONNECTOR"",""routeCode"":""ROUTE_SUNDAYBANK_TO_PETERBANK_PACS008""}"
"timeline.7","eventType","OUTBOX_ISO_DISPATCH_STARTED"
"timeline.7","actor","WORKER"
"timeline.7","createdAt","2026-07-02T07:57:38.161"
"timeline.7","payload","{""transferRef"":""TRX-20260702075738-456404E5"",""outboundIsoMessageId"":85,""messageType"":""PACS_008"",""direction"":""OUTBOUND"",""messageId"":""MSG-TRX-20260702075738-456404E5"",""endToEndId"":""E2E-TRX-20260702075738-456404E5"",""securityStatus"":""ENCRYPTED"",""sourceBank"":""SUNDAYBANK"",""destinationBank"":""PETERBANK"",""routeCode"":""ROUTE_SUNDAYBANK_TO_PETERBANK_PACS008"",""connectorName"":""MOCK_PETERBANK_CONNECTOR"",""encryptedPayloadPresent"":true}"
"timeline.8","eventType","PACS002_RESPONSE_RECEIVED"
"timeline.8","actor","WORKER"
"timeline.8","createdAt","2026-07-02T07:57:38.165"
"timeline.8","payload","{""transferRef"":""TRX-20260702075738-456404E5"",""outboundIsoMessageId"":85,""outboundMessageId"":""MSG-TRX-20260702075738-456404E5"",""routeCode"":""ROUTE_SUNDAYBANK_TO_PETERBANK_PACS008"",""connectorName"":""MOCK_PETERBANK_CONNECTOR"",""responseSuccess"":true,""responseCode"":""00"",""responseMessage"":""MOCK_CONNECTOR_ACCEPTED_AND_RETURNED_PACS002"",""externalReference"":""MOCK-4A903099"",""isoStatusCode"":""ACSC"",""pacs002XmlPresent"":true}"
"timeline.9","eventType","PACS002_INBOUND_SAVED"
"timeline.9","actor","WORKER"
"timeline.9","createdAt","2026-07-02T07:57:38.185"
"timeline.9","payload","{""transferRef"":""TRX-20260702075738-456404E5"",""inboundIsoMessageId"":86,""messageType"":""PACS_002"",""direction"":""INBOUND"",""messageId"":""M260702075738PETE7020757384564045"",""endToEndId"":""E2E-TRX-20260702075738-456404E5"",""securityStatus"":""DECRYPTED"",""txStatus"":""ACTC"",""originalMessageId"":""MSG-TRX-20260702075738-456404E5"",""originalEndToEndId"":""E2E-TRX-20260702075738-456404E5"",""originalTransactionId"":""TRX-20260702075738-456404E5"",""routeCode"":""ROUTE_SUNDAYBANK_TO_PETERBANK_PACS008"",""connectorName"":""MOCK_PETERBANK_CONNECTOR"",""externalReference"":""MOCK-4A903099""}"
"timeline.10","eventType","PACS002_PARSED"
"timeline.10","actor","WORKER"
"timeline.10","createdAt","2026-07-02T07:57:38.187"
"timeline.10","payload","{""transferRef"":""TRX-20260702075738-456404E5"",""inboundIsoMessageId"":86,""messageId"":""M260702075738PETE7020757384564045"",""originalMessageId"":""MSG-TRX-20260702075738-456404E5"",""originalEndToEndId"":""E2E-TRX-20260702075738-456404E5"",""originalTransactionId"":""TRX-20260702075738-456404E5"",""txStatus"":""ACTC"",""accepted"":true,""rejected"":false,""reasonCode"":null,""reasonMessage"":null,""routeCode"":""ROUTE_SUNDAYBANK_TO_PETERBANK_PACS008"",""connectorName"":""MOCK_PETERBANK_CONNECTOR""}"
"timeline.11","eventType","OUTBOX_DISPATCH_SUCCESS"
"timeline.11","actor","WORKER"
"timeline.11","createdAt","2026-07-02T07:57:38.208"
"timeline.11","payload","{""outboxEventId"":45,""transferRef"":""TRX-20260702075738-456404E5"",""status"":""READY_FOR_SETTLEMENT"",""confirmationStatus"":""CONFIRMED"",""settlementConfidence"":""CONFIRMED"",""externalReference"":""MOCK-4A903099"",""reference"":""PACS.002 accepted with TxSts=ACTC"",""poolAvailableBalance"":0,""poolHeldAmount"":0}"
"timeline.12","eventType","POST_SETTLEMENT_DESTINATION_DISPUTE_OPENED"
"timeline.12","actor","admin"
"timeline.12","createdAt","2026-07-02T08:07:50.992"
"timeline.12","payload","{""disputeId"":19,""transferRef"":""TRX-20260702075738-456404E5"",""raisingPspId"":""PETERBANK"",""respondingPspId"":""SUNDAYBANK"",""disputeType"":""POST_SETTLEMENT_DESTINATION_DISPUTE"",""reasonCode"":""POST_SETTLEMENT_DESTINATION_DISPUTE"",""reason"":""Destination bank reports issue after STGS settlement"",""nextAction"":""DRS_REVIEW_REQUIRED""}"
"timeline.13","eventType","DRS_RESOLUTION_SUBMITTED"
"timeline.13","actor","admin"
"timeline.13","createdAt","2026-07-02T08:08:16.758"
"timeline.13","payload","{""disputeId"":19,""transferRef"":""TRX-20260702075738-456404E5"",""disputeType"":""POST_SETTLEMENT_DESTINATION_DISPUTE"",""decision"":""NO_ACTION"",""note"":""Maker reviewed evidence and proposes no action"",""nextAction"":""CHECKER_APPROVAL_REQUIRED""}"
"timeline.14","eventType","DRS_RESOLUTION_APPROVED"
"timeline.14","actor","checker1"
"timeline.14","createdAt","2026-07-02T08:12:31.392"
"timeline.14","payload","{""disputeId"":19,""transferRef"":""TRX-20260702075738-456404E5"",""disputeType"":""POST_SETTLEMENT_DESTINATION_DISPUTE"",""finalStatus"":""RESOLVED_NO_ACTION"",""decision"":""NO_ACTION"",""note"":""Checker approved NO_ACTION after evidence review"",""checker"":""checker1"",""maker"":""admin""}"
"timeline.15","eventType","POST_SETTLEMENT_DESTINATION_DISPUTE_OPENED"
"timeline.15","actor","admin"
"timeline.15","createdAt","2026-07-02T09:04:22.948"
"timeline.15","payload","{""disputeId"":20,""transferRef"":""TRX-20260702075738-456404E5"",""raisingPspId"":""PETERBANK"",""respondingPspId"":""SUNDAYBANK"",""disputeType"":""POST_SETTLEMENT_DESTINATION_DISPUTE"",""reasonCode"":"""",""reason"":""Destination bank requests post-settlement refund test"",""nextAction"":""DRS_REVIEW_REQUIRED""}"
"timeline.16","eventType","DRS_RESOLUTION_SUBMITTED"
"timeline.16","actor","admin"
"timeline.16","createdAt","2026-07-02T09:05:21.238"
"timeline.16","payload","{""disputeId"":20,""transferRef"":""TRX-20260702075738-456404E5"",""disputeType"":""POST_SETTLEMENT_DESTINATION_DISPUTE"",""note"":""Maker proposes DRS refund after destination dispute"",""nextAction"":""CHECKER_APPROVAL_REQUIRED"",""decision"":""REFUND_REQUIRED""}"
"timeline.17","eventType","DRS_REFUND_COMPLETED"
"timeline.17","actor","checker1"
"timeline.17","createdAt","2026-07-02T09:06:01.758"
"timeline.17","payload","{""disputeId"":20,""transferRef"":""TRX-20260702075738-456404E5"",""disputeType"":""POST_SETTLEMENT_DESTINATION_DISPUTE"",""note"":""Checker approved DRS refund"",""decision"":""REFUND_REQUIRED"",""finalStatus"":""RESOLVED_REFUND""}"
"timeline.18","eventType","DRS_RESOLUTION_APPROVED"
"timeline.18","actor","checker1"
"timeline.18","createdAt","2026-07-02T09:06:01.760"
"timeline.18","payload","{""disputeId"":20,""transferRef"":""TRX-20260702075738-456404E5"",""disputeType"":""POST_SETTLEMENT_DESTINATION_DISPUTE"",""note"":""Checker approved DRS refund"",""checker"":""checker1"",""maker"":""admin"",""finalStatus"":""RESOLVED_REFUND"",""decision"":""REFUND_REQUIRED""}"
