method,path,handler,domain,risk,evidence_required,status,evidence_path,notes
GET,/api/dashboard/cross-border,CrossBorderDashboardController.get  (src/main/java/com/example/switching/dashboard/crossborder/controller/CrossBorderDashboardController.java),dashboard,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/09-dashboard-reads-20260717T015532Z,
GET,/api/dashboard/dr,DrDashboardController.get  (src/main/java/com/example/switching/dashboard/dr/controller/DrDashboardController.java),dashboard,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/09-dashboard-reads-20260717T015532Z,
GET,/api/dashboard/infrastructure,InfrastructureDashboardController.get  (src/main/java/com/example/switching/dashboard/infrastructure/controller/InfrastructureDashboardController.java),dashboard,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/09-dashboard-reads-20260717T015532Z,
GET,/api/dashboard/overview,DashboardController.getOverview  (src/main/java/com/example/switching/dashboard/controller/DashboardController.java),dashboard,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/09-dashboard-reads-20260717T015532Z,
GET,/api/dashboard/participants,ParticipantDashboardController.get  (src/main/java/com/example/switching/dashboard/participant/controller/ParticipantDashboardController.java),dashboard,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/09-dashboard-reads-20260717T015532Z,
GET,/api/dashboard/risk,RiskDashboardController.get  (src/main/java/com/example/switching/dashboard/risk/controller/RiskDashboardController.java),dashboard,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/09-dashboard-reads-20260717T015532Z,
GET,/api/dashboard/settlement,SettlementDashboardController.get  (src/main/java/com/example/switching/dashboard/settlement/controller/SettlementDashboardController.java),dashboard,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/09-dashboard-reads-20260717T015532Z,
GET,/api/dashboard/transactions/summary,TransactionDashboardController.summary  (src/main/java/com/example/switching/dashboard/transaction/controller/TransactionDashboardController.java),dashboard,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/09-dashboard-reads-20260717T015532Z,
GET,/api/inquiries,InquiryMonitorController.searchInquiries  (src/main/java/com/example/switching/inquiry/controller/InquiryMonitorController.java),inquiries,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/10-inquiry-monitor-20260717T022358Z,
POST,/api/inquiries,InquiryController.create  (src/main/java/com/example/switching/inquiry/controller/InquiryController.java),inquiries,standard,happy path + authorization + validation + cleanup,PASS,03-payment-happy-path,
GET,/api/inquiries/{inquiryRef},InquiryController.getByInquiryRef  (src/main/java/com/example/switching/inquiry/controller/InquiryController.java),inquiries,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/10-inquiry-monitor-20260717T022358Z,
GET,/api/inquiries/{inquiryRef}/transfers,InquiryTransferController.getTransfersByInquiryRef  (src/main/java/com/example/switching/inquiry/controller/InquiryTransferController.java),inquiries,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/10-inquiry-monitor-20260717T022358Z,
GET,/api/iso-inquiries/{inquiryRef},IsoInquiryQueryController.findByInquiryRef  (src/main/java/com/example/switching/iso/inquiry/IsoInquiryQueryController.java),iso-inquiries,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/15-iso-inquiries-20260717T025711Z,
GET,/api/iso-messages,IsoMessageController.search  (src/main/java/com/example/switching/iso/controller/IsoMessageController.java),iso-messages,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/16-iso-messages-20260717T030142Z,
POST,/api/iso-messages/{id}/decrypt,IsoMessageSecurityController.decryptIsoMessage  (src/main/java/com/example/switching/iso/controller/IsoMessageSecurityController.java),iso-messages,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/operations-iso-messages,
POST,/api/iso-messages/{id}/encrypt,IsoMessageSecurityController.encryptIsoMessage  (src/main/java/com/example/switching/iso/controller/IsoMessageSecurityController.java),iso-messages,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/operations-iso-messages,
GET,/api/iso-messages/{messageKey},IsoMessageController.getDetail  (src/main/java/com/example/switching/iso/controller/IsoMessageController.java),iso-messages,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/16-iso-messages-20260717T030142Z,
GET,/api/iso-messages/{messageKey}/security-policy,IsoMessageSecurityPolicyController.getPolicy  (src/main/java/com/example/switching/iso/controller/IsoMessageSecurityPolicyController.java),iso-messages,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/16-iso-messages-20260717T030142Z,
POST,/api/iso-messages/{messageKey}/validate,IsoMessageValidationController.validate  (src/main/java/com/example/switching/iso/controller/IsoMessageValidationController.java),iso-messages,standard,happy path + authorization + validation + cleanup,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/operations-iso-messages,
POST,/api/iso20022/acmt023,IsoInquiryController.receiveAcmt023  (src/main/java/com/example/switching/iso/inquiry/IsoInquiryController.java),iso20022,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/iso20022/application/*+xml,IsoPacs008InboundController.receivePacs008  (src/main/java/com/example/switching/iso/inbound/IsoPacs008InboundController.java),iso20022,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/iso20022/pacs008,IsoPacs008InboundController.receivePacs008  (src/main/java/com/example/switching/iso/inbound/IsoPacs008InboundController.java),iso20022,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/operations/aggregation/run,OperationsAggregationController.runNow  (src/main/java/com/example/switching/operations/controller/OperationsAggregationController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/operations/aggregation/run/{date},OperationsAggregationController.runForDate  (src/main/java/com/example/switching/operations/controller/OperationsAggregationController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/audit-logs,OperationsAuditLogQueryController.searchAuditLogs  (src/main/java/com/example/switching/operations/controller/OperationsAuditLogQueryController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/21-operations-audit-logs-20260717T033222Z,
POST,/api/operations/bank-onboarding,OperationsBankOnboardingController.onboardBank  (src/main/java/com/example/switching/operations/controller/OperationsBankOnboardingController.java),operations,standard,happy path + authorization + validation + cleanup,PASS,15-member-bank-connectivity-guardrails,
POST,/api/operations/bank-onboarding/generate-routes,OperationsGenerateRoutesForBankController.generateRoutesForBank  (src/main/java/com/example/switching/operations/controller/OperationsGenerateRoutesForBankController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/bank-status,OperationsBankStatusController.getBankStatus  (src/main/java/com/example/switching/operations/controller/OperationsBankStatusController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/17-bank-status-20260717T030530Z,
GET,/api/operations/bau/status,BauActivationController.status  (src/main/java/com/example/switching/bauactivation/BauActivationController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/18-bau-status-20260717T030801Z,
GET,/api/operations/connectors/health,OperationsConnectorController.getConnectorHealth  (src/main/java/com/example/switching/operations/controller/OperationsConnectorController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/17-bank-status-20260717T030530Z,
POST,/api/operations/connectors/{connectorName}/test,OperationsConnectorController.testConnector  (src/main/java/com/example/switching/operations/controller/OperationsConnectorController.java),operations,standard,happy path + authorization + validation + cleanup,PASS,15-member-bank-connectivity-guardrails,
GET,/api/operations/continuous-assurance/hypercare,ContinuousAssuranceController.hypercare  (src/main/java/com/example/switching/continuousassurance/controller/ContinuousAssuranceController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/19-hypercare-20260717T032317Z,
POST,/api/operations/continuous-assurance/hypercare/complete,ContinuousAssuranceController.complete  (src/main/java/com/example/switching/continuousassurance/controller/ContinuousAssuranceController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/operations/continuous-assurance/hypercare/events,ContinuousAssuranceController.event  (src/main/java/com/example/switching/continuousassurance/controller/ContinuousAssuranceController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/operations/continuous-assurance/hypercare/start,ContinuousAssuranceController.start  (src/main/java/com/example/switching/continuousassurance/controller/ContinuousAssuranceController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/operations/continuous-assurance/scorecard,ContinuousAssuranceController.score  (src/main/java/com/example/switching/continuousassurance/controller/ContinuousAssuranceController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/dashboard-summary,OperationsDashboardSummaryController.getDashboardSummary  (src/main/java/com/example/switching/operations/controller/OperationsDashboardSummaryController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/20-operations-dashboard-summary-20260717T033103Z,
GET,/api/operations/disputes,OperationsDisputeController.listDisputes  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
GET,/api/operations/disputes/dashboard-summary,OperationsDisputeController.dashboardSummary  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/dispute-dashboard,
POST,/api/operations/disputes/post-settlement,OperationsDisputeController.raisePostSettlementDispute  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z,
GET,/api/operations/disputes/{disputeId},OperationsDisputeController.disputeDetail  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,read,authenticated read + unauthorized negative,PASS,05-refund-reversal,
GET,/api/operations/disputes/{disputeId}/actions,OperationsDisputeController.disputeActions  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
POST,/api/operations/disputes/{disputeId}/approve-resolution,OperationsDisputeController.approveResolution  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z,
GET,/api/operations/disputes/{disputeId}/attachments,OperationsDisputeController.listAttachments  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
POST,/api/operations/disputes/{disputeId}/attachments,OperationsDisputeController.uploadAttachment  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
GET,/api/operations/disputes/{disputeId}/attachments/{attachmentId}/download,OperationsDisputeController.downloadAttachment  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
GET,/api/operations/disputes/{disputeId}/evidence-report,OperationsDisputeController.evidenceReport  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
GET,/api/operations/disputes/{disputeId}/evidence-report.csv,OperationsDisputeController.evidenceReportCsv  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
POST,/api/operations/disputes/{disputeId}/refund/retry,OperationsDisputeController.retryRefund  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z,
POST,/api/operations/disputes/{disputeId}/reject-resolution,OperationsDisputeController.rejectResolution  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
POST,/api/operations/disputes/{disputeId}/submit-resolution,OperationsDisputeController.submitResolution  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
GET,/api/operations/disputes/{disputeId}/timeline,OperationsDisputeController.disputeTimeline  (src/main/java/com/example/switching/dispute/controller/OperationsDisputeController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/30-dispute-operations-20260717T061831Z,
GET,/api/operations/health,OperationsHealthController.getHealth  (src/main/java/com/example/switching/operations/controller/OperationsHealthController.java),operations,read,authenticated read + unauthorized negative,PASS,10-observability,
GET,/api/operations/iso-inquiries,OperationsIsoInquiryQueryController.searchIsoInquiries  (src/main/java/com/example/switching/operations/controller/OperationsIsoInquiryQueryController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/15-iso-inquiries-20260717T025711Z,
GET,/api/operations/iso-inquiries/{inquiryRef},OperationsIsoInquiryQueryController.findIsoInquiry  (src/main/java/com/example/switching/operations/controller/OperationsIsoInquiryQueryController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/15-iso-inquiries-20260717T025711Z,
GET,/api/operations/iso-messages,OperationsIsoMessageQueryController.searchIsoMessages  (src/main/java/com/example/switching/operations/controller/OperationsIsoMessageQueryController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/31-post-settlement-dispute-20260717T062635Z/operations-iso-messages,
POST,/api/operations/outbox-events/{id}/mark-reviewed,OperationsOutboxMarkReviewedController.markReviewed  (src/main/java/com/example/switching/operations/controller/OperationsOutboxMarkReviewedController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/operations/outbox-failures,OperationsOutboxFailureController.getOutboxFailures  (src/main/java/com/example/switching/operations/controller/OperationsOutboxFailureController.java),operations,read,authenticated read + unauthorized negative,PASS,08-outbox-recovery,
POST,/api/operations/outbox-failures/retry-all,OperationsOutboxFailureRetryAllController.retryAllFailedOutboxEvents  (src/main/java/com/example/switching/operations/controller/OperationsOutboxFailureRetryAllController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/operations/outbox-stuck,OperationsOutboxStuckController.getStuckOutboxEvents  (src/main/java/com/example/switching/operations/controller/OperationsOutboxStuckController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/22-outbox-stuck-20260717T033305Z,
POST,/api/operations/outbox-stuck/recover-all,OperationsOutboxStuckRecoverController.recoverAllStuckOutboxEvents  (src/main/java/com/example/switching/operations/controller/OperationsOutboxStuckRecoverController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/operations/payment-flows/{transactionRef},OperationsTransactionEventsController.getFlow  (src/main/java/com/example/switching/operations/controller/OperationsTransactionEventsController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/14-operations-events-20260717T024646Z,
GET,/api/operations/promotions/funder-ledger/reconciliation,PromotionFunderLedgerReconciliationController.reconcile  (src/main/java/com/example/switching/promotion/reconciliation/PromotionFunderLedgerReconciliationController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
GET,/api/operations/readiness/approvals,ReadinessController.approvals  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/api/operations/readiness/approvals,ReadinessController.approval  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/readiness/controls,ReadinessController.controls  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/api/operations/readiness/controls,ReadinessController.control  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/operations/readiness/decisions,ReadinessController.decide  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/readiness/evidence,ReadinessController.evidence  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/api/operations/readiness/evidence,ReadinessController.evidence  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/readiness/evidence/integrity,ReadinessController.integrity  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
GET,/api/operations/readiness/incidents,ReadinessController.incidents  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/api/operations/readiness/incidents,ReadinessController.incident  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/readiness/risks,ReadinessController.risks  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/api/operations/readiness/risks,ReadinessController.risk  (src/main/java/com/example/switching/readiness/controller/ReadinessController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/reconciliation/files,ReconciliationController.listFiles  (src/main/java/com/example/switching/reconciliation/controller/ReconciliationController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/api/operations/reconciliation/files,ReconciliationController.createFile  (src/main/java/com/example/switching/reconciliation/controller/ReconciliationController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/reconciliation/files/{fileRef},ReconciliationController.getFile  (src/main/java/com/example/switching/reconciliation/controller/ReconciliationController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
GET,/api/operations/reconciliation/files/{fileRef}/discrepancies,ReconciliationController.getDiscrepancies  (src/main/java/com/example/switching/reconciliation/controller/ReconciliationController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
GET,/api/operations/reconciliation/files/{fileRef}/items,ReconciliationController.getAllItems  (src/main/java/com/example/switching/reconciliation/controller/ReconciliationController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
POST,/api/operations/reconciliation/files/{fileRef}/items,ReconciliationController.importItems  (src/main/java/com/example/switching/reconciliation/controller/ReconciliationController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
POST,/api/operations/reconciliation/files/{fileRef}/rematch,ReconciliationController.rematch  (src/main/java/com/example/switching/reconciliation/controller/ReconciliationController.java),operations,standard,happy path + authorization + validation + cleanup,NOT_TESTED,,
GET,/api/operations/settlement/cycles,SettlementController.listCycles  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
POST,/api/operations/settlement/cycles,SettlementController.openCycle  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/operations/settlement/cycles/{cycleRef},SettlementController.getCycle  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
GET,/api/operations/settlement/cycles/{cycleRef}/actions,SettlementController.getCycleActions  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
POST,/api/operations/settlement/cycles/{cycleRef}/batch,SettlementController.batchTransactions  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
POST,/api/operations/settlement/cycles/{cycleRef}/close,SettlementController.closeCycle  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/operations/settlement/cycles/{cycleRef}/detail,SettlementController.getCycleDetail  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
GET,/api/operations/settlement/cycles/{cycleRef}/instructions,SettlementController.listInstructions  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
POST,/api/operations/settlement/cycles/{cycleRef}/instructions/generate,SettlementController.generateInstructions  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/operations/settlement/cycles/{cycleRef}/ops-report,SettlementController.getOpsSettlementReport  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
GET,/api/operations/settlement/cycles/{cycleRef}/ops-report.csv,SettlementController.downloadOpsSettlementReportCsv  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
GET,/api/operations/settlement/cycles/{cycleRef}/report,SettlementController.getSettlementReport  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,NOT_TESTED,,
GET,/api/operations/settlement/cycles/{cycleRef}/reports,SettlementController.listSettlementReports  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
POST,/api/operations/settlement/cycles/{cycleRef}/settle,SettlementController.settleCycle  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,high,happy path + authorization + validation + audit + rollback/cleanup,NOT_TESTED,,
GET,/api/operations/settlement/cycles/{cycleRef}/timeline,SettlementController.getCycleTimeline  (src/main/java/com/example/switching/settlement/controller/SettlementController.java),operations,read,authenticated read + unauthorized negative,PASS,18-api-endpoint-coverage/29-settlement-operations-20260717T042342Z,
